epoch,loss,ppl,accuracy
0,  6.77338, 874.25960, 8.630
1,  5.10970, 165.62025, 17.907
2,  4.69562, 109.46617, 22.498
3,  4.39442, 80.99794, 27.179
4,  4.16304, 64.26629, 29.619
5,  3.92365, 50.58496, 31.973
6,  3.72867, 41.62364, 33.683
7,  3.58434, 36.02946, 34.081
8,  3.33860, 28.17959, 36.336
9,  3.03562, 20.81388, 39.843
10,  2.86760, 17.59479, 41.481
11,  2.69334, 14.78090, 43.578
12,  2.49087, 12.07175, 46.483
13,  2.41783, 11.22147, 48.807
14,  2.14988, 8.58385, 52.978
15,  1.96998, 7.17055, 56.248
16,  1.91679, 6.79911, 57.410
17,  1.82459, 6.20025, 59.382
18,  1.62116, 5.05893, 63.494
19,  1.58218, 4.86556, 64.784
20,  1.45943, 4.30351, 67.448
21,  1.24524, 3.47377, 72.035
22,  1.18864, 3.28263, 73.749
23,  1.13305, 3.10511, 75.252
24,  1.01231, 2.75195, 78.189
25,  0.83364, 2.30167, 82.011
26,  0.80657, 2.24022, 83.753
27,  0.78717, 2.19717, 84.153
28,  0.74656, 2.10973, 85.274
29,  0.71822, 2.05078, 85.643
30,  0.70203, 2.01785, 86.224
31,  0.76279, 2.14425, 84.970
32,  0.76623, 2.15165, 84.851
33,  0.64468, 1.90538, 87.296
34,  0.69856, 2.01086, 86.381
35,  0.67773, 1.96940, 86.595
36,  0.56242, 1.75492, 88.819
37,  0.49904, 1.64714, 89.770
38,  0.49702, 1.64382, 90.554
39,  0.43061, 1.53820, 91.668
40,  0.53001, 1.69895, 89.887
41,  0.52133, 1.68427, 89.934
42,  0.53153, 1.70153, 89.732
43,  0.51038, 1.66592, 90.028
44,  0.52956, 1.69819, 89.653
45,  0.58443, 1.79397, 88.609
46,  0.48769, 1.62855, 90.219
47,  0.53735, 1.71146, 89.453
48,  0.48279, 1.62059, 90.447
49,  0.50596, 1.65858, 90.080
